Timestamp,black_x,black_y,yellow_x,yellow_y
1727469114.96282,4.42,4.47,-4.66,2.31
1727469114.997646,4.42,4.47,-4.65,2.27
1727469115.027549,4.42,4.47,-4.66,2.31
1727469115.0622358,4.42,4.47,-4.65,2.29
1727469115.091578,4.42,4.47,-4.65,2.31
1727469115.126367,4.44,4.47,-4.65,2.27
1727469115.1621592,4.42,4.47,-4.65,2.29
1727469115.191554,4.42,4.47,-4.66,2.27
1727469115.227243,4.42,4.47,-4.65,2.31
1727469115.256758,4.42,4.47,-4.65,2.29
1727469115.2917209,4.42,4.47,-4.65,2.31
1727469115.321198,4.44,4.47,-4.65,2.29
1727469115.3565068,4.42,4.47,-4.65,2.31
1727469115.391131,4.42,4.47,-4.66,2.31
1727469115.4202812,4.42,4.47,-4.65,2.31
1727469115.45404,4.44,4.47,-4.65,2.27
1727469115.488964,4.42,4.47,-4.66,2.29
1727469115.524619,4.44,4.47,-4.66,2.29
1727469115.5535989,4.42,4.47,-4.66,2.31
1727469115.5882628,4.42,4.47,-4.65,2.27
1727469115.6230772,4.42,4.47,-4.66,2.31
1727469115.65326,4.42,4.47,-4.65,2.31
1727469115.687653,4.42,4.47,-4.66,2.31
1727469115.71711,4.42,4.47,-4.66,2.31
1727469115.758368,4.44,4.47,-4.66,2.31
1727469115.781861,4.42,4.47,-4.65,2.29
1727469115.823179,4.42,4.47,-4.66,2.29
1727469115.8582551,4.4,4.47,-4.66,2.31
1727469115.882655,4.44,4.47,-4.65,2.29
1727469115.973176,4.42,4.47,-4.65,2.31
1727469116.021385,4.42,4.47,-4.66,2.31
1727469116.050028,4.44,4.47,-4.65,2.27
1727469116.11986,4.44,4.47,-4.66,2.29
1727469116.1487622,4.42,4.47,-4.66,2.27
1727469116.184329,4.42,4.47,-4.66,2.56
1727469116.219559,4.42,4.47,-1000000,-1000000
1727469116.248319,4.44,4.47,-4.65,5.06
1727469116.283512,4.42,4.47,-4.73,4.82
1727469116.3189409,4.42,4.47,-4.68,4.56
1727469116.348358,4.42,4.47,-4.68,4.56
1727469116.389164,4.42,4.45,-4.69,4.55
1727469116.4177878,4.42,4.47,-4.69,4.56
1727469116.447018,4.44,4.47,-4.68,4.56
1727469116.477613,4.44,4.47,-4.69,4.56
1727469116.511936,4.44,4.47,-4.68,4.56
1727469116.547727,4.42,4.47,-4.68,4.56
1727469116.588342,4.42,4.47,-4.69,4.55
1727469116.64099,4.44,4.47,-4.69,4.56
1727469116.6763551,4.42,4.47,-4.69,4.56
1727469116.7069051,4.42,4.47,-4.69,4.56
1727469116.741058,4.42,4.47,-4.69,4.56
1727469116.810283,4.42,4.47,-4.68,4.56
1727469116.839933,4.42,4.47,-4.68,4.56
1727469116.8756568,4.42,4.47,-4.68,4.56
1727469116.904342,4.42,4.47,-4.69,4.56
1727469116.945578,4.42,4.47,-4.69,4.56
1727469116.9801972,4.42,4.47,-4.68,4.56
1727469117.008127,4.42,4.47,-4.69,4.56
1727469117.0429251,4.44,4.47,-4.69,4.56
1727469117.073078,4.42,4.47,-4.69,4.56
1727469117.114014,4.44,4.47,-4.68,4.56
1727469117.1739688,4.44,4.47,-4.69,4.56
1727469117.2095082,4.42,4.47,-4.69,4.56
1727469117.239084,4.42,4.47,-4.69,4.56
1727469117.2738318,4.42,4.47,-4.69,4.55
1727469117.298267,4.42,4.47,-4.68,4.56
1727469117.3385751,4.42,4.47,-4.68,4.55
1727469117.372153,4.42,4.47,-4.68,4.56
1727469117.402036,4.42,4.47,-4.69,4.56
1727469117.4371111,4.42,4.47,-4.68,4.56
1727469117.471627,4.44,4.47,-4.68,4.56
1727469117.50047,4.42,4.47,-4.68,4.56
1727469117.53591,4.42,4.47,-4.68,4.56
1727469117.576751,4.42,4.47,-4.68,4.56
1727469117.600735,4.42,4.47,-4.68,4.56
1727469117.6367092,-1000000,-1000000,-4.68,4.56
